split_proportion,model,metric,train,valid,test
80-10-10,XGB,r2,0.8807901309275525,0.7653202378274393,0.76915281308898
80-10-10,XGB,MAE,46227.47671451936,61601.04287624329,62661.48609932507
80-10-10,XGB,MSE,4257238288.853722,8531159901.794537,8792936460.256006
80-10-10,XGB,RMSE,65247.51557610238,92364.27827788478,93770.65884516331
70-15-15,XGB,r2,0.8844669614071033,0.757742296857316,0.7607273149993984
70-15-15,XGB,MAE,45389.35503669961,63276.764152960524,62521.91440946643
70-15-15,XGB,MSE,4120819997.839117,8974070055.181902,8760504132.900244
70-15-15,XGB,RMSE,64193.6133726644,94731.56841930731,93597.56478082239
60-20-20,XGB,r2,0.8927486803601414,0.7561748742052651,0.7608795916329985
60-20-20,XGB,MAE,43928.6405978647,63042.192782749844,62806.687634443086
60-20-20,XGB,MSE,3847959868.4456244,8836164102.036963,8655888176.720205
60-20-20,XGB,RMSE,62031.92620292896,94000.87287912257,93037.025837675
80-10-10,LGB,r2,0.9809310388962027,0.7322816351800342,0.7357959846675057
80-10-10,LGB,MAE,17922.70127957792,65745.0245763634,65122.79842447108
80-10-10,LGB,MSE,684155657.0749478,9702049355.937626,9563886362.424488
80-10-10,LGB,RMSE,26156.369340467492,98498.98149695572,97795.1244307429
70-15-15,LGB,r2,0.9775428016027046,0.7354608223988365,0.7364100698045035
70-15-15,LGB,MAE,19632.67246430526,64867.55811434811,64710.15463603007
70-15-15,LGB,MSE,801000937.7240177,9799453562.617256,9650832784.622816
70-15-15,LGB,RMSE,28301.959962589477,98992.18940207988,98238.65219262129
60-20-20,LGB,r2,0.9809310388962027,0.7322816351800342,0.7357959846675057
60-20-20,LGB,MAE,17922.70127957792,65745.0245763634,65122.79842447108
60-20-20,LGB,MSE,684155657.0749478,9702049355.937626,9563886362.424488
60-20-20,LGB,RMSE,26156.369340467492,98498.98149695572,97795.1244307429
80-10-10,RF,r2,0.9679876537828076,0.7588916022274744,0.7714062356100299
80-10-10,RF,MAE,22422.015475478525,61176.69699175683,61233.84071712827
80-10-10,RF,MSE,1143229055.5494952,8764855887.106396,8707103917.47809
80-10-10,RF,RMSE,33811.67040460283,93620.80904962527,93311.86375524868
70-15-15,RF,r2,0.9673234776575262,0.752712928524351,0.7669921287645116
70-15-15,RF,MAE,22590.46311566453,62439.3524837159,61071.70924092453
70-15-15,RF,MSE,1165502685.3676262,9160375395.189022,8531130157.843348
70-15-15,RF,RMSE,34139.459359627035,95709.85004266292,92364.11726337965
60-20-20,RF,r2,0.9663699845095285,0.7486531734358217,0.7590260687527166
60-20-20,RF,MAE,22888.92990332793,62948.199032633434,61721.99062555511
60-20-20,RF,MSE,1206576762.104909,9108748734.603382,8722983607.404184
60-20-20,RF,RMSE,34735.813825285695,95439.76495467381,93396.91433556135
80-10-10,MLR,r2,0.4363117462228222,0.44896223331128116,0.4507440427655829
80-10-10,MLR,MAE,102363.99201414973,100680.26135615818,104681.32967623012
80-10-10,MLR,MSE,20130507948.959244,20031515525.79365,20921081157.644234
80-10-10,MLR,RMSE,141882.02123228737,141532.73658695945,144641.21527989258
70-15-15,MLR,r2,0.4345935077908305,0.43128368820360125,0.46780274895419427
70-15-15,MLR,MAE,102459.91729929547,104427.21940374191,100275.95489248907
70-15-15,MLR,MSE,20166857968.7721,21067235251.461117,19485367572.538452
70-15-15,MLR,RMSE,142010.06291376712,145145.56573130685,139589.99811067572
60-20-20,MLR,r2,0.43631492575882286,0.4297524571004918,0.45685971757417376
60-20-20,MLR,MAE,102298.8208543488,104133.69644072099,101106.60456902566
60-20-20,MLR,MSE,20223877444.16851,20665634238.554035,19661063566.49635
60-20-20,MLR,RMSE,142210.67978238664,143755.46681275824,140217.91457048684
